import time: self [us] | cumulative | imported package
import time:       403 |        403 |   _io
import time:        55 |         55 |   marshal
import time:       472 |        472 |   posix
import time:       470 |       1398 | _frozen_importlib_external
import time:       131 |        131 |   time
import time:       158 |        289 | zipimport
import time:        73 |         73 |     _codecs
import time:       353 |        425 |   codecs
import time:      2154 |       2154 |   encodings.aliases
import time:      2339 |       4917 | encodings
import time:       439 |        439 | encodings.utf_8
import time:       190 |        190 | _signal
import time:        50 |         50 |     _abc
import time:       176 |        226 |   abc
import time:       301 |        526 | io
import time:        62 |         62 |       _stat
import time:        85 |        147 |     stat
import time:      1286 |       1286 |     _collections_abc
import time:       126 |        126 |       genericpath
import time:       102 |        227 |     posixpath
import time:       479 |       2138 |   os
import time:       106 |        106 |   _sitebuiltins
import time:       298 |        298 |   sitecustomize
import time:       155 |        155 |   usercustomize
import time:      1157 |       3851 | site
import time:       487 |        487 | __future__
import time:       457 |        457 |     types
import time:       122 |        122 |       _operator
import time:       587 |        709 |     operator
import time:       444 |        444 |         itertools
import time:       235 |        235 |         keyword
import time:       320 |        320 |         reprlib
import time:       106 |        106 |         _collections
import time:      1344 |       2448 |       collections
import time:        85 |         85 |       _functools
import time:       855 |       3386 |     functools
import time:      2332 |       6882 |   enum
import time:       113 |        113 |     _sre
import time:       370 |        370 |       re._constants
import time:       559 |        929 |     re._parser
import time:       297 |        297 |     re._casefix
import time:       502 |       1840 |   re._compiler
import time:       275 |        275 |   copyreg
import time:       851 |       9847 | re
import time:       359 |        359 |       _json
import time:       601 |        960 |     json.scanner
import time:       964 |       1923 |   json.decoder
import time:       624 |        624 |   json.encoder
import time:       315 |       2861 | json
import time:      9862 |       9862 | readline
import time:        65 |         65 | atexit
import time:       559 |        559 |   warnings
import time:     16029 |      16029 |   gettext
import time:     41022 |      57610 | argparse
import time:      1578 |       1578 | textwrap
import time:       307 |        307 |   fnmatch
import time:       111 |        111 |     _winapi
import time:       100 |        100 |     nt
import time:        87 |         87 |     nt
import time:        86 |         86 |     nt
import time:        83 |         83 |     nt
import time:        82 |         82 |     nt
import time:        81 |         81 |     nt
import time:       129 |        755 |   ntpath
import time:        85 |         85 |   errno
import time:       249 |        249 |     urllib
import time:       389 |        389 |     math
import time:      2016 |       2016 |     ipaddress
import time:      3961 |       6613 |   urllib.parse
import time:      1087 |       8845 | pathlib
import time:      1118 |       1118 |   collections.abc
import time:       931 |        931 |   contextlib
import time:        56 |         56 |   _typing
import time:      4008 |       6113 | typing
import time:       549 |        549 |   _weakrefset
import time:       887 |       1435 | threading
import time:       120 |        120 |   rich
import time:        33 |        153 | rich.console
import time:       350 |        350 |       token
import time:        56 |         56 |       _tokenize
import time:      1369 |       1774 |     tokenize
import time:       268 |       2042 |   linecache
import time:      1036 |       3078 | traceback
import time:       173 |        173 |   _locale
import time:      1351 |       1524 | locale
import time:       471 |        471 |   zlib
import time:       341 |        341 |     _compression
import time:       355 |        355 |     _bz2
import time:       485 |       1181 |   bz2
import time:       610 |        610 |     _lzma
import time:       533 |       1143 |   lzma
import time:      1104 |       3897 | shutil
